MIDPEL_1,MIDPEL_2,MIDPEL_3,LFEP_1,LFEP_2,LFEP_3,RFEP_1,RFEP_2,RFEP_3,LFEO_1,LFEO_2,LFEO_3,RFEO_1,RFEO_2,RFEO_3,LTIO_1,LTIO_2,LTIO_3,RTIO_1,RTIO_2,RTIO_3,qRPV_1,qRPV_2,qRPV_3,qRPV_4,qLTH_1,qLTH_2,qLTH_3,qLTH_4,qRTH_1,qRTH_2,qRTH_3,qRTH_4,qLSK_1,qLSK_2,qLSK_3,qLSK_4,qRSK_1,qRSK_2,qRSK_3,qRSK_4
0.056,0,1,0.056,0.2,1,0.056,-0.2,1,0.329938417124843,0.2,0.581720495812746,0.474279504187254,-0.2,0.726061582875157,0.329938417124843,0.2,0.0817204958127458,0.474279504187254,-0.2,0.226061582875157,1,0,0,0,0.879737697910487,0,-0.475459338824212,0,0.879737697910487,0,-0.475459338824212,0,1,0,0,0,1,0,0,0
0.057,0,1,0.057,0.2,1,0.057,-0.2,1,0.335332723065504,0.2,0.584631614983829,0.472368385016171,-0.2,0.721667276934497,0.335332723065504,0.2,0.0846316149838294,0.472368385016171,-0.2,0.221667276934497,1,0,0,0,0.882231671991832,0,-0.470815544491148,0,0.882231671991832,0,-0.470815544491148,0,1,0,0,0,1,0,0,0
0.058,0,1,0.058,0.2,1,0.058,-0.2,1,0.340696095619979,0.2,0.587588897432162,0.470411102567838,-0.2,0.717303904380021,0.340696095619979,0.2,0.0875888974321624,0.470411102567838,-0.2,0.217303904380021,1,0,0,0,0.884701133502145,0,-0.466158668674112,0,0.884701133502145,0,-0.466158668674112,0,1,0,0,0,1,0,0,0
0.059,0,1,0.059,0.2,1,0.059,-0.2,1,0.346028049851082,0.2,0.59059201449082,0.46840798550918,-0.2,0.712971950148918,0.346028049851082,0.2,0.0905920144908203,0.46840798550918,-0.2,0.212971950148918,1,0,0,0,0.887146013828097,0,-0.461488840763152,0,0.887146013828097,0,-0.461488840763152,0,1,0,0,0,1,0,0,0
0.06,0,1,0.06,0.2,1,0.06,-0.2,1,0.351328104313398,0.2,0.593640632398905,0.466359367601095,-0.2,0.708671895686602,0.351328104313398,0.2,0.0936406323989047,0.466359367601095,-0.2,0.208671895686602,1,0,0,0,0.889566245039344,0,-0.456806190508187,0,0.889566245039344,0,-0.456806190508187,0,1,0,0,0,1,0,0,0
0.061,0,1,0.061,0.2,1,0.061,-0.2,1,0.356595781106793,0.2,0.596734412338636,0.464265587661363,-0.2,0.704404218893207,0.356595781106793,0.2,0.0967344123386364,0.464265587661363,-0.2,0.204404218893207,1,0,0,0,0.891961759890408,0,-0.452110848015403,0,0.891961759890408,0,-0.452110848015403,0,1,0,0,0,1,0,0,0
0.062,0,1,0.062,0.2,1,0.062,-0.2,1,0.36183060592953,0.2,0.599873010473011,0.462126989526988,-0.2,0.70016939407047,0.36183060592953,0.2,0.0998730104730114,0.462126989526988,-0.2,0.20016939407047,1,0,0,0,0.894332491822549,0,-0.447402943743635,0,0.894332491822549,0,-0.447402943743635,0,1,0,0,0,1,0,0,0
0.063,0,1,0.063,0.2,1,0.063,-0.2,1,0.367032108130978,0.2,0.603056077984014,0.459943922015986,-0.2,0.695967891869022,0.367032108130978,0.2,0.103056077984014,0.459943922015986,-0.2,0.195967891869022,1,0,0,0,0.896678374965616,0,-0.442682608500743,0,0.896678374965616,0,-0.442682608500743,0,1,0,0,0,1,0,0,0
0.064,0,1,0.064,0.2,1,0.064,-0.2,1,0.372199820763921,0.2,0.606283261111384,0.457716738888616,-0.2,0.691800179236079,0.372199820763921,0.2,0.106283261111384,0.457716738888616,-0.2,0.191800179236079,1,0,0,0,0.898999344139873,0,-0.437949973439979,0,0.898999344139873,0,-0.437949973439979,0,1,0,0,0,1,0,0,0
0.065,0,1,0.065,0.2,1,0.065,-0.2,1,0.377333280636453,0.2,0.609554201191932,0.455445798808068,-0.2,0.687666719363546,0.377333280636453,0.2,0.109554201191932,0.455445798808068,-0.2,0.187666719363546,1,0,0,0,0.901295334857811,0,-0.433205170056345,0,0.901295334857811,0,-0.433205170056345,0,1,0,0,0,1,0,0,0
